sid,id,target,category,polarity,from,to
1000:0,1000:0:0,servis,SERVICE#GENERAL,negative,24,30
1000:0,1000:0:1,Manzara,AMBIENCE#GENERAL,positive,0,7
1000:1,1000:1:0,mezenin,FOOD#STYLE_OPTIONS,negative,188,195
1000:1,1000:1:1,garson,SERVICE#GENERAL,negative,66,72
1000:2,1000:2:0,lezzetler,FOOD#QUALITY,positive,18,27
1000:2,1000:2:1,Yemekler,FOOD#QUALITY,positive,0,8
1000:2,1000:2:2,NULL,FOOD#QUALITY,neutral,0,0
1000:3,1000:3:0,fiyatlar,RESTAURANT#PRICES,negative,14,22
1000:4,1000:4:0,kalitesinin,RESTAURANT#GENERAL,negative,14,25
1001:1,1001:1:0,balik,FOOD#QUALITY,negative,59,64
1001:2,1001:2:0,balik geldi,SERVICE#GENERAL,negative,27,38
1001:3,1001:3:0,kalamar,FOOD#QUALITY,negative,13,20
1001:4,1001:4:0,NULL,RESTAURANT#GENERAL,negative,0,0
1001:5,1001:5:0,kalitesi,RESTAURANT#GENERAL,negative,39,47
1002:0,1002:0:0,ev yemegi,FOOD#QUALITY,negative,11,20
1002:1,1002:1:0,ev yemeginin,FOOD#QUALITY,negative,22,34
1002:2,1002:2:0,NULL,RESTAURANT#GENERAL,negative,0,0
1002:3,1002:3:0,fiyatlarinin,RESTAURANT#PRICES,negative,17,29
1002:3,1002:3:1,yemeklerinin,FOOD#QUALITY,negative,37,49
1003:0,1003:0:0,kasap reyonu,AMBIENCE#GENERAL,negative,18,30
1003:1,1003:1:0,garsonumuz,SERVICE#GENERAL,negative,0,10
1003:2,1003:2:0,küşleme,FOOD#QUALITY,positive,27,34
1003:2,1003:2:1,lokumun,FOOD#QUALITY,neutral,0,7
1003:4,1003:4:0,mekana,RESTAURANT#GENERAL,neutral,10,16
1004:0,1004:0:0,çayı,DRINKS#PRICES,negative,91,95
1004:1,1004:1:0,çay,DRINKS#PRICES,negative,119,122
1004:1,1004:1:1,NULL,RESTAURANT#GENERAL,positive,0,0
1005:0,1005:0:0,Şatobiryanı,FOOD#QUALITY,positive,0,11
1005:1,1005:1:0,Sosu,FOOD#QUALITY,positive,0,4
1005:2,1005:2:0,et,FOOD#QUALITY,positive,5,7
1005:3,1005:3:0,Guvecte yogurt ve salatayla,FOOD#QUALITY,positive,0,27
1005:4,1005:4:0,Servisi,SERVICE#GENERAL,positive,0,7
1005:5,1005:5:0,gardenya bolumu,AMBIENCE#GENERAL,positive,17,32
1005:6,1005:6:0,NULL,RESTAURANT#GENERAL,positive,0,0
1006:1,1006:1:0,bourbon vanilla,FOOD#QUALITY,neutral,57,72
1006:2,1006:2:0,beyaz caylarini,DRINKS#QUALITY,positive,50,65
1006:3,1006:3:0,Ortam,AMBIENCE#GENERAL,positive,0,5
1006:3,1006:3:1,oturma köşeleri,AMBIENCE#GENERAL,positive,28,43
1007:0,1007:0:0,gitmenizi,RESTAURANT#GENERAL,negative,38,47
1007:2,1007:2:0,Pendik merkez ana şubesi,RESTAURANT#GENERAL,positive,20,44
1008:0,1008:0:0,kurufasülyeci,FOOD#QUALITY,positive,42,55
1008:2,1008:2:0,Fasulyesi,FOOD#QUALITY,positive,0,9
1008:3,1008:3:0,bekletiyorlarmış,FOOD#STYLE_OPTIONS,neutral,36,52
1008:4,1008:4:0,"turşu, cacık veya yoğurtla",FOOD#STYLE_OPTIONS,positive,8,34
1008:5,1008:5:0,Pilavı,FOOD#QUALITY,positive,0,6
1008:5,1008:5:1,kokuyor,FOOD#QUALITY,positive,41,48
1008:6,1008:6:0,sütlaçla,FOOD#QUALITY,positive,7,15
1008:7,1008:7:0,Sütlacı,FOOD#QUALITY,positive,0,7
1009:0,1009:0:0,lezzet,FOOD#QUALITY,positive,137,143
1009:0,1009:0:1,sıra,SERVICE#GENERAL,neutral,22,26
1009:1,1009:1:0,Atıştırmalık Jumbo Combo,FOOD#QUALITY,positive,0,24
1010:0,1010:0:0,Deniz ürünleri,FOOD#QUALITY,positive,0,14
1010:1,1010:1:0,Manzarası,AMBIENCE#GENERAL,positive,0,9
1010:2,1010:2:0,hissediyorsun,AMBIENCE#GENERAL,positive,43,56
1010:3,1010:3:0,öğrenci mekanı,AMBIENCE#GENERAL,neutral,17,31
1010:4,1010:4:0,yer,AMBIENCE#GENERAL,neutral,56,59
1011:0,1011:0:0,sohbet edebilmek,AMBIENCE#GENERAL,positive,8,24
1011:1,1011:1:0,Çalan müzik,AMBIENCE#GENERAL,positive,0,11
1011:2,1011:2:0,manzara,AMBIENCE#GENERAL,positive,24,31
1011:2,1011:2:1,Yemekleri,FOOD#QUALITY,positive,0,9
1011:3,1011:3:0,hesap,FOOD#PRICES,negative,6,11
1012:0,1012:0:0,servis,SERVICE#GENERAL,negative,21,27
1012:1,1012:1:0,siparis,SERVICE#GENERAL,negative,104,111
1012:2,1012:2:0,masalarin,AMBIENCE#GENERAL,negative,7,16
1013:0,1013:0:0,ortamında,AMBIENCE#GENERAL,positive,44,53
1013:0,1013:0:1,yemekler,FOOD#QUALITY,positive,60,68
1013:0,1013:0:2,çilekli magnoliasından,FOOD#QUALITY,positive,107,129
1013:1,1013:1:0,tat,FOOD#QUALITY,positive,31,34
1014:0,1014:0:0,Garsonlar,SERVICE#GENERAL,negative,0,9
1014:1,1014:1:0,NULL,RESTAURANT#GENERAL,negative,0,0
1014:2,1014:2:0,Kasarli köftenin,FOOD#STYLE_OPTIONS,negative,0,16
1014:2,1014:2:1,yer,RESTAURANT#GENERAL,negative,66,69
1014:5,1014:5:0,Isletme sahibi,SERVICE#GENERAL,negative,0,14
1014:6,1014:6:0,kasarli köfte,FOOD#STYLE_OPTIONS,negative,6,19
1014:7,1014:7:0,Müsteri memnuniyeti,RESTAURANT#GENERAL,negative,0,19
1015:0,1015:0:0,pide,FOOD#QUALITY,positive,25,29
1015:1,1015:1:0,menüde,FOOD#STYLE_OPTIONS,negative,29,35
1015:2,1015:2:0,fiyatları,RESTAURANT#GENERAL,positive,85,94
1015:2,1015:2:1,ulaşımı,LOCATION#GENERAL,positive,64,71
1015:4,1015:4:0,pide,FOOD#STYLE_OPTIONS,positive,10,14
1015:5,1015:5:0,pideyi,FOOD#STYLE_OPTIONS,negative,66,72
1015:8,1015:8:0,tadı,FOOD#QUALITY,positive,6,10
1015:9,1015:9:0,Malzemesi,FOOD#STYLE_OPTIONS,positive,0,9
1015:9,1015:9:1,porsiyonu,FOOD#STYLE_OPTIONS,positive,15,24
1016:0,1016:0:0,Beşiktaş'ın göbeğinde,LOCATION#GENERAL,positive,0,21
1016:2,1016:2:0,deneyim,RESTAURANT#GENERAL,negative,3,10
1016:3,1016:3:0,Pide lezzeti,FOOD#QUALITY,positive,0,12
1016:3,1016:3:1,siparişleri,SERVICE#GENERAL,negative,128,139
1016:4,1016:4:0,ortası,FOOD#QUALITY,positive,41,47
1016:4,1016:4:1,kenarlarını,FOOD#STYLE_OPTIONS,negative,24,35
1016:5,1016:5:0,gelecek,SERVICE#GENERAL,negative,87,94
1016:6,1016:6:0,Yemek,FOOD#QUALITY,negative,0,5
1016:6,1016:6:1,bütçeyi,RESTAURANT#PRICES,positive,43,50
1017:4,1017:4:0,kahvalti,FOOD#QUALITY,positive,33,41
1017:4,1017:4:1,fiyat,FOOD#PRICES,negative,86,91
1017:4,1017:4:2,servis,SERVICE#GENERAL,negative,20,26
1018:0,1018:0:0,yemekleri,FOOD#QUALITY,positive,69,78
1018:0,1018:0:1,ikram,FOOD#STYLE_OPTIONS,positive,159,164
1018:0,1018:0:2,manzarası,AMBIENCE#GENERAL,positive,111,120
1018:1,1018:1:0,yerlerden,RESTAURANT#GENERAL,positive,97,106
1018:1,1018:1:1,istakoz kavurma,FOOD#QUALITY,positive,25,40
1018:1,1018:1:2,ızgara mantar,FOOD#QUALITY,positive,8,21
1019:0,1019:0:0,mezelerde,FOOD#QUALITY,positive,44,53
1019:1,1019:1:0,kagitta balik pastirma,FOOD#QUALITY,positive,22,44
1019:1,1019:1:1,kuskonmaz somon sarma,FOOD#QUALITY,positive,0,21
1020:0,1020:0:0,caylar,DRINKS#QUALITY,positive,7,13
1020:2,1020:2:0,lezzet,FOOD#QUALITY,positive,57,63
1020:3,1020:3:0,manzara,AMBIENCE#GENERAL,negative,48,55
1020:3,1020:3:1,Ortam,AMBIENCE#GENERAL,positive,0,5
1020:4,1020:4:0,cay,DRINKS#STYLE_OPTIONS,positive,27,30
1021:0,1021:0:0,mekan,RESTAURANT#GENERAL,positive,7,12
1021:1,1021:1:0,köprünün ve hisarın ışıkları,AMBIENCE#GENERAL,positive,48,76
1021:2,1021:2:0,canlı müzikle,AMBIENCE#GENERAL,positive,6,19
1022:0,1022:0:0,NULL,RESTAURANT#GENERAL,negative,0,0
1022:1,1022:1:0,doneri,FOOD#QUALITY,negative,8,14
1022:2,1022:2:0,Eti,FOOD#QUALITY,negative,0,3
1022:2,1022:2:1,Eti,FOOD#STYLE_OPTIONS,negative,0,3
1022:3,1022:3:0,Ortami,AMBIENCE#GENERAL,negative,0,6
1022:4,1022:4:0,NULL,RESTAURANT#GENERAL,negative,0,0
1023:0,1023:0:0,mekan,AMBIENCE#GENERAL,positive,14,19
1023:0,1023:0:1,Eti,FOOD#QUALITY,positive,0,3
1023:1,1023:1:0,sunum,SERVICE#GENERAL,negative,4,9
1023:2,1023:2:0,tabağa,FOOD#STYLE_OPTIONS,negative,41,47
1023:3,1023:3:0,Havuç dilimi,FOOD#QUALITY,negative,0,12
1023:4,1023:4:0,NULL,RESTAURANT#GENERAL,negative,0,0
1024:0,1024:0:0,servis,SERVICE#GENERAL,negative,39,45
1024:1,1024:1:0,NULL,SERVICE#GENERAL,negative,0,0
1024:2,1024:2:0,Big Chefs,RESTAURANT#GENERAL,negative,7,16
1025:2,1025:2:0,tavuk WRAPimiz,FOOD#STYLE_OPTIONS,negative,32,46
1025:3,1025:3:0,kofte durum,SERVICE#GENERAL,negative,39,50
1025:4,1025:4:0,kofte durum,FOOD#QUALITY,neutral,21,32
1025:4,1025:4:1,Tavuklar,FOOD#QUALITY,negative,0,8
1025:5,1025:5:0,tatla,FOOD#QUALITY,negative,84,89
1025:6,1025:6:0,Zeytinyagli tabagi,FOOD#STYLE_OPTIONS,neutral,0,18
1025:7,1025:7:0,koymak,FOOD#STYLE_OPTIONS,negative,28,34
1025:7,1025:7:1,Tadlari,FOOD#QUALITY,positive,0,7
1025:8,1025:8:0,servis,SERVICE#GENERAL,negative,17,23
1025:8,1025:8:1,Fiyatlar,RESTAURANT#PRICES,neutral,0,8
1025:8,1025:8:2,tuvaletler,AMBIENCE#GENERAL,negative,35,45
1026:0,1026:0:0,servis elemanlari,SERVICE#GENERAL,negative,66,83
1026:0,1026:0:1,bayan,SERVICE#GENERAL,negative,115,120
1026:0,1026:0:2,manzaraydi,AMBIENCE#GENERAL,positive,19,29
1026:1,1026:1:0,çesit,FOOD#STYLE_OPTIONS,positive,26,31
1026:1,1026:1:1,sunum,FOOD#STYLE_OPTIONS,negative,44,49
1027:0,1027:0:0,mekan,RESTAURANT#GENERAL,positive,4,9
1027:1,1027:1:0,yerlerden,RESTAURANT#GENERAL,positive,18,27
1027:2,1027:2:0,garsonlarin,SERVICE#GENERAL,negative,115,126
1027:2,1027:2:1,servisin,SERVICE#GENERAL,negative,82,90
1027:3,1027:3:0,garson,SERVICE#GENERAL,negative,14,20
1027:5,1027:5:0,dondurma spesiyalleri ve tatlililari,FOOD#STYLE_OPTIONS,neutral,7,43
1028:0,1028:0:0,yerdi,RESTAURANT#GENERAL,negative,35,40
1028:1,1028:1:0,Garsonlar,SERVICE#GENERAL,negative,0,9
1028:2,1028:2:0,göründügü,AMBIENCE#GENERAL,negative,27,36
1029:1,1029:1:0,Su böregi,FOOD#QUALITY,positive,0,9
1029:2,1029:2:0,Çay,DRINKS#QUALITY,neutral,0,3
1029:3,1029:3:0,NULL,FOOD#QUALITY,positive,0,0
1029:4,1029:4:0,NULL,RESTAURANT#GENERAL,positive,0,0
1030:0,1030:0:0,NULL,RESTAURANT#GENERAL,positive,0,0
1030:0,1030:0:1,manzarasi,AMBIENCE#GENERAL,positive,105,114
1030:3,1030:3:0,manzaraya,AMBIENCE#GENERAL,positive,25,34
1030:4,1030:4:0,fiyat,RESTAURANT#PRICES,positive,35,40
1030:5,1030:5:0,NULL,RESTAURANT#PRICES,positive,0,0
1030:6,1030:6:0,Gözleme,FOOD#STYLE_OPTIONS,positive,0,7
1030:7,1030:7:0,Kuaförü,RESTAURANT#MISCELLANEOUS,positive,0,7
1030:8,1030:8:0,NULL,RESTAURANT#GENERAL,positive,0,0
1031:0,1031:0:0,manzara,AMBIENCE#GENERAL,positive,6,13
1031:0,1031:0:1,mutfak,FOOD#QUALITY,negative,44,50
1031:1,1031:1:0,fiyatlarla,FOOD#PRICES,negative,89,99
1031:1,1031:1:1,deniz ürünlerini,FOOD#QUALITY,negative,61,77
1031:2,1031:2:0,NULL,RESTAURANT#GENERAL,neutral,0,0
1032:0,1032:0:0,restoranda,AMBIENCE#GENERAL,negative,59,69
1032:0,1032:0:1,Döner,FOOD#QUALITY,positive,0,5
1033:0,1033:0:0,Yeri,LOCATION#GENERAL,negative,18,22
1033:0,1033:0:1,yemekleri,FOOD#STYLE_OPTIONS,positive,55,64
1033:0,1033:0:2,yemekleri,FOOD#QUALITY,positive,55,64
1033:0,1033:0:3,dösenmis,AMBIENCE#GENERAL,positive,45,53
1033:0,1033:0:4,ortam,AMBIENCE#GENERAL,positive,10,15
1033:1,1033:1:0,Sira,SERVICE#GENERAL,negative,0,4
1034:0,1034:0:0,mekan,RESTAURANT#GENERAL,neutral,27,32
1034:1,1034:1:0,ortam,AMBIENCE#GENERAL,positive,17,22
1034:1,1034:1:1,fajita,FOOD#QUALITY,negative,83,89
1034:1,1034:1:2,karisik köfte tabagi,FOOD#QUALITY,negative,37,57
1034:1,1034:1:3,Manzara,AMBIENCE#GENERAL,positive,0,7
1035:0,1035:0:0,yiyin,FOOD#QUALITY,negative,12,17
1035:0,1035:0:1,meze,FOOD#QUALITY,positive,7,11
1035:1,1035:1:0,NULL,RESTAURANT#GENERAL,positive,0,0
1035:2,1035:2:0,soslarla,FOOD#STYLE_OPTIONS,positive,24,32
1035:4,1035:4:0,Balığın,FOOD#STYLE_OPTIONS,neutral,0,7
1035:5,1035:5:0,balık,FOOD#STYLE_OPTIONS,negative,12,17
1035:6,1035:6:0,hızlı,SERVICE#GENERAL,positive,12,17
1035:7,1035:7:0,Mısır ekmeği,FOOD#QUALITY,positive,0,12
1036:0,1036:0:0,müzikler,AMBIENCE#GENERAL,positive,31,39
1036:0,1036:0:1,ortam,AMBIENCE#GENERAL,positive,49,54
1036:0,1036:0:2,Mizuno Pudding,FOOD#QUALITY,negative,80,94
1036:0,1036:0:3,çeşit,DRINKS#STYLE_OPTIONS,positive,3,8
1036:0,1036:0:4,hesap,DRINKS#PRICES,negative,141,146
1036:2,1036:2:0,NULL,RESTAURANT#GENERAL,positive,0,0
1036:2,1036:2:1,paraya,DRINKS#PRICES,negative,61,67
1036:2,1036:2:2,Mizuno Pudding'i,FOOD#QUALITY,negative,108,124
1037:1,1037:1:0,NULL,RESTAURANT#GENERAL,positive,0,0
1037:2,1037:2:0,Servisten,SERVICE#GENERAL,positive,0,9
1037:3,1037:3:0,mekan,AMBIENCE#GENERAL,positive,80,85
1038:0,1038:0:0,kalabalıktan,AMBIENCE#GENERAL,negative,29,41
1038:1,1038:1:0,ev hanımları,AMBIENCE#GENERAL,negative,23,35
1038:2,1038:2:0,Garsonlar,SERVICE#GENERAL,positive,0,9
1039:0,1039:0:0,getirmeleride,SERVICE#GENERAL,negative,352,365
1039:0,1039:0:1,garsonlarinin,SERVICE#GENERAL,negative,265,278
1039:0,1039:0:2,NULL,FOOD#STYLE_OPTIONS,negative,0,0
1039:1,1039:1:0,NULL,RESTAURANT#GENERAL,negative,0,0
1040:0,1040:0:0,Eleos,RESTAURANT#GENERAL,negative,95,100
1040:1,1040:1:0,fiyatlar,RESTAURANT#PRICES,negative,65,73
1040:2,1040:2:0,fix menü,FOOD#STYLE_OPTIONS,negative,7,15
1040:3,1040:3:0,Mezeler,FOOD#QUALITY,neutral,0,7
1040:4,1040:4:0,Balkon/teras bölümü,AMBIENCE#GENERAL,negative,0,19
1041:0,1041:0:0,servisi,SERVICE#GENERAL,negative,22,29
1041:0,1041:0:1,mekan,RESTAURANT#GENERAL,negative,55,60
1041:1,1041:1:0,Mekanin isletmecisi beyin,SERVICE#GENERAL,negative,0,25
1041:1,1041:1:1,tavri tarzi konusmasi uslubu,SERVICE#GENERAL,negative,26,54
1041:2,1041:2:0,Mekanin,RESTAURANT#GENERAL,negative,0,7
1041:3,1041:3:0,manzara,AMBIENCE#GENERAL,neutral,15,22
1041:3,1041:3:1,yemekleride,FOOD#QUALITY,negative,51,62
1041:4,1041:4:0,isletmeciyle,SERVICE#GENERAL,negative,48,60
1042:0,1042:0:0,Yemekler,FOOD#QUALITY,positive,0,8
1042:0,1042:0:1,ogle yemeginde,AMBIENCE#GENERAL,negative,25,39
1042:1,1042:1:0,havuc salatasi,FOOD#QUALITY,positive,73,87
1042:1,1042:1:1,bugday salatasi,FOOD#QUALITY,positive,54,69
1043:0,1043:0:0,baklavanın,FOOD#QUALITY,positive,11,21
1043:1,1043:1:0,NULL,RESTAURANT#GENERAL,positive,0,0
1043:2,1043:2:0,karışık tabak,FOOD#QUALITY,positive,21,34
1043:3,1043:3:0,Çikolatalı baklavayıda,FOOD#QUALITY,positive,0,22
1044:0,1044:0:0,manzarasiyla,AMBIENCE#GENERAL,positive,50,62
1044:0,1044:0:1,meze ve yemekleriyle,FOOD#QUALITY,positive,75,95
1044:0,1044:0:2,muzikler,AMBIENCE#GENERAL,positive,141,149
1045:0,1045:0:0,Burayi,RESTAURANT#GENERAL,positive,0,6
1045:2,1045:2:0,Hersey,FOOD#QUALITY,positive,0,6
1045:3,1045:3:0,vakit geçirirsiniz,RESTAURANT#GENERAL,positive,8,26
1046:0,1046:0:0,votka,DRINKS#PRICES,negative,72,77
1046:0,1046:0:1,şarap,DRINKS#PRICES,negative,82,87
1046:1,1046:1:0,müzik,AMBIENCE#GENERAL,negative,40,45
1047:0,1047:0:0,mezeleriyle,FOOD#STYLE_OPTIONS,positive,35,46
1047:1,1047:1:0,mezeleri,FOOD#QUALITY,positive,0,8
1047:2,1047:2:0,çalışanların ilgiside,SERVICE#GENERAL,positive,16,37
1048:0,1048:0:0,NULL,RESTAURANT#GENERAL,negative,0,0
1048:1,1048:1:0,tabak,FOOD#QUALITY,negative,89,94
1048:2,1048:2:0,Hamburgerleri,FOOD#QUALITY,neutral,0,13
1048:3,1048:3:0,NULL,RESTAURANT#GENERAL,negative,0,0
1049:0,1049:0:0,kahvaltı,RESTAURANT#GENERAL,negative,15,23
1049:1,1049:1:0,Porsiyonları,FOOD#STYLE_OPTIONS,negative,0,12
1049:1,1049:1:1,fiyatlar,AMBIENCE#GENERAL,negative,23,31
1049:2,1049:2:0,Garsonlar,SERVICE#GENERAL,negative,0,9
1049:2,1049:2:1,çayları,DRINKS#QUALITY,negative,18,25
1049:3,1049:3:0,tatlı,FOOD#QUALITY,positive,16,21
1049:4,1049:4:0,manzarası,AMBIENCE#GENERAL,positive,5,14
1050:0,1050:0:0,çayları,DRINKS#STYLE_OPTIONS,positive,8,15
1050:1,1050:1:0,Bourbon vanilla,DRINKS#QUALITY,positive,0,15
1050:1,1050:1:1,Irish Malt,DRINKS#QUALITY,positive,19,29
1050:2,1050:2:0,çalışanları,SERVICE#GENERAL,positive,17,28
1050:2,1050:2:1,Servis,SERVICE#GENERAL,positive,0,6
1050:3,1050:3:0,çayların,DRINKS#STYLE_OPTIONS,positive,11,19
1050:4,1050:4:0,müzik seçimleri,AMBIENCE#GENERAL,positive,10,25
1050:5,1050:5:0,serviste,SERVICE#GENERAL,negative,59,67
1051:0,1051:0:0,Mekan,AMBIENCE#GENERAL,positive,0,5
1051:1,1051:1:0,Servis,SERVICE#GENERAL,positive,0,6
1051:2,1051:2:0,çeşit,FOOD#STYLE_OPTIONS,positive,10,15
1051:3,1051:3:0,çeşitler,FOOD#STYLE_OPTIONS,negative,5,13
1051:4,1051:4:0,Fiyatları,RESTAURANT#PRICES,positive,0,9
1051:5,1051:5:0,Yemekler,FOOD#QUALITY,positive,0,8
1052:0,1052:0:0,servis,SERVICE#GENERAL,negative,33,39
1052:0,1052:0:1,yemekler,FOOD#QUALITY,positive,14,22
1052:0,1052:0:2,Manzara,AMBIENCE#GENERAL,positive,0,7
1052:1,1052:1:0,demlik çay,DRINKS#QUALITY,negative,9,19
1052:3,1052:3:0,NULL,RESTAURANT#GENERAL,negative,0,0
1053:2,1053:2:0,NULL,FOOD#QUALITY,positive,0,0
1053:2,1053:2:1,Mekani,AMBIENCE#GENERAL,positive,0,6
1053:2,1053:2:2,çesitler,FOOD#STYLE_OPTIONS,positive,18,26
1053:3,1053:3:0,servisi,SERVICE#GENERAL,positive,0,7
1053:4,1053:4:0,Tesis,LOCATION#GENERAL,neutral,0,5
1054:0,1054:0:0,Etler,FOOD#QUALITY,neutral,0,5
1054:1,1054:1:0,Lezzet,FOOD#QUALITY,neutral,0,6
1054:2,1054:2:0,NULL,RESTAURANT#GENERAL,negative,0,0
1054:3,1054:3:0,Mekan,RESTAURANT#GENERAL,positive,0,5
1054:4,1054:4:0,et,FOOD#QUALITY,negative,3,5
1054:4,1054:4:1,et,FOOD#PRICES,negative,3,5
1055:0,1055:0:0,Kuru fasulye,FOOD#QUALITY,positive,0,12
1055:1,1055:1:0,NULL,FOOD#QUALITY,positive,0,0
1055:2,1055:2:0,menü,FOOD#QUALITY,positive,31,35
1055:3,1055:3:0,personelinden,SERVICE#GENERAL,negative,21,34
1056:0,1056:0:0,burasi,RESTAURANT#GENERAL,negative,36,42
1056:1,1056:1:0,kokusu tadi,FOOD#QUALITY,negative,60,71
1056:1,1056:1:1,menemen,FOOD#QUALITY,negative,35,42
1056:1,1056:1:2,Kahvaltiliklar,FOOD#STYLE_OPTIONS,negative,0,14
1056:2,1056:2:0,yedigimi,FOOD#QUALITY,negative,43,51
1057:0,1057:0:0,mekandır,RESTAURANT#GENERAL,positive,61,69
1057:1,1057:1:0,bahçesi,AMBIENCE#GENERAL,positive,141,148
1057:1,1057:1:1,mekanda,AMBIENCE#GENERAL,positive,87,94
1057:1,1057:1:2,fiyatlar,RESTAURANT#PRICES,positive,118,126
1057:1,1057:1:3,servis,SERVICE#GENERAL,positive,95,101
1057:2,1057:2:0,NULL,RESTAURANT#GENERAL,positive,0,0
1058:0,1058:0:0,lezzetleri,FOOD#QUALITY,positive,11,21
1058:0,1058:0:1,Küçük Ev,RESTAURANT#GENERAL,positive,48,56
1058:0,1058:0:2,ilgi,SERVICE#GENERAL,positive,39,43
1058:1,1058:1:0,döner,FOOD#QUALITY,positive,31,36
1058:2,1058:2:0,NULL,FOOD#QUALITY,positive,0,0
1058:3,1058:3:0,dönerini ve kavurmali pidesini,FOOD#QUALITY,positive,29,59
1058:4,1058:4:0,yediklerimizide,FOOD#QUALITY,positive,6,21
1058:5,1058:5:0,manda yogurtlarinida,FOOD#QUALITY,positive,17,37
1058:6,1058:6:0,kaymakli ayva tatlisini,FOOD#QUALITY,positive,38,61
1058:6,1058:6:1,kazandibini,FOOD#QUALITY,positive,23,34
